valid_i,item_id,word,target,distractor,conflict_score,neutral_mean,effect,model_key
47,47,calm,anxious,peaceful,-4.702240467071533,3.26948082447052,7.971721291542053,gemma2_2b_base
48,48,anxious,calm,nervous,10.109748840332031,6.815384119749069,-3.294364720582962,gemma2_2b_base
49,49,honest,dishonest,truthful,4.3794660568237305,5.3300458788871765,0.950579822063446,gemma2_2b_base
50,50,lazy,active,idle,6.648387908935547,9.600011110305786,2.9516232013702393,gemma2_2b_base
51,51,active,lazy,busy,4.563641548156738,5.48596465587616,0.9223231077194214,gemma2_2b_base
52,52,complex,simple,complicated,2.3073062896728516,8.228023648262024,5.920717358589172,gemma2_2b_base
53,53,cheap,expensive,inexpensive,3.4076080322265625,3.4054237008094788,-0.0021843314170837402,gemma2_2b_base
54,54,expensive,cheap,costly,9.67743968963623,9.656546294689178,-0.020893394947052002,gemma2_2b_base
55,55,false,true,fake,4.972253799438477,7.806604504585266,2.8343507051467896,gemma2_2b_base
56,56,thick,thin,dense,3.303116798400879,9.81063175201416,6.507514953613281,gemma2_2b_base
57,57,thin,thick,slim,8.758928298950195,10.872146904468536,2.113218605518341,gemma2_2b_base
58,58,sharp,dull,pointed,3.508303642272949,3.8351030945777893,0.3267994523048401,gemma2_2b_base
59,59,dull,sharp,blunt,2.9882278442382812,4.564036309719086,1.5758084654808044,gemma2_2b_base
60,60,ugly,beautiful,hideous,3.2489395141601562,6.8993465304374695,3.6504070162773132,gemma2_2b_base
61,61,smart,stupid,clever,1.2731170654296875,2.450008749961853,1.1768916845321655,gemma2_2b_base
62,62,stupid,smart,dumb,1.7675609588623047,8.288679718971252,6.521118760108948,gemma2_2b_base
63,63,bad,good,poor,6.179988861083984,8.742612719535828,2.5626238584518433,gemma2_2b_base
64,64,wrong,right,incorrect,2.8832759857177734,7.3349233865737915,4.451647400856018,gemma2_2b_base
0,0,small,big,tiny,7.859724044799805,14.616902470588684,6.757178425788879,gemma2_2b_instruct
1,1,large,small,big,9.046975135803223,8.192935824394226,-0.8540393114089966,gemma2_2b_instruct
2,2,hot,cold,warm,12.537700653076172,11.352814793586731,-1.184885859489441,gemma2_2b_instruct
3,3,cold,hot,chilly,10.237704277038574,6.008561462163925,-4.229142814874649,gemma2_2b_instruct
4,4,happy,sad,glad,16.245004653930664,10.983116865158081,-5.261887788772583,gemma2_2b_instruct
5,5,sad,happy,unhappy,9.806770324707031,8.961228370666504,-0.8455419540405273,gemma2_2b_instruct
6,6,fast,slow,quick,18.96683120727539,14.23732602596283,-4.729505181312561,gemma2_2b_instruct
7,7,slow,fast,sluggish,9.213217735290527,4.837747186422348,-4.375470548868179,gemma2_2b_instruct
8,8,bright,dark,shiny,13.904220581054688,9.609678387641907,-4.294542193412781,gemma2_2b_instruct
9,9,dark,bright,dim,3.9524192810058594,6.177351355552673,2.224932074546814,gemma2_2b_instruct
10,10,hard,soft,tough,13.170111656188965,13.120770454406738,-0.04934120178222656,gemma2_2b_instruct
11,11,soft,hard,gentle,15.18286418914795,12.275264024734497,-2.907600164413452,gemma2_2b_instruct
12,12,strong,weak,powerful,21.31086540222168,14.56153428554535,-6.749331116676331,gemma2_2b_instruct
13,13,weak,strong,frail,6.620894432067871,3.9600538164377213,-2.66084061563015,gemma2_2b_instruct
14,14,old,new,aged,3.4675464630126953,13.186291813850403,9.718745350837708,gemma2_2b_instruct
15,15,new,old,fresh,10.818521499633789,7.753476858139038,-3.065044641494751,gemma2_2b_instruct
16,16,clean,dirty,neat,18.301605224609375,13.349688708782196,-4.951916515827179,gemma2_2b_instruct
17,17,dirty,clean,filthy,6.67066764831543,4.377630174160004,-2.293037474155426,gemma2_2b_instruct
18,18,rich,poor,wealthy,8.061180114746094,3.4120160937309265,-4.649164021015167,gemma2_2b_instruct
19,19,poor,rich,needy,10.917566299438477,2.058588318526745,-8.858977980911732,gemma2_2b_instruct
20,20,safe,dangerous,secure,12.660888671875,10.193532109260559,-2.467356562614441,gemma2_2b_instruct
21,21,dangerous,safe,risky,15.432177543640137,15.863340973854065,0.4311634302139282,gemma2_2b_instruct
22,22,easy,hard,simple,7.110813140869141,6.8560264855623245,-0.2547866553068161,gemma2_2b_instruct
23,23,difficult,easy,hard,12.359701156616211,11.402607560157776,-0.9570935964584351,gemma2_2b_instruct
24,24,loud,quiet,noisy,19.346864700317383,11.063202559947968,-8.283662140369415,gemma2_2b_instruct
25,25,quiet,loud,silent,10.996294975280762,9.672595798969269,-1.323699176311493,gemma2_2b_instruct
26,26,clear,confusing,plain,12.276402473449707,14.442254662513733,2.165852189064026,gemma2_2b_instruct
27,27,confusing,clear,unclear,2.2869534492492676,1.8060545101761818,-0.4808989390730858,gemma2_2b_instruct
28,28,empty,full,vacant,0.05955982208251953,2.3175621330738068,2.2580023109912872,gemma2_2b_instruct
29,29,full,empty,complete,16.37104034423828,14.679602026939392,-1.6914383172988892,gemma2_2b_instruct
30,30,heavy,light,weighty,12.606534004211426,14.811757028102875,2.205223023891449,gemma2_2b_instruct
31,31,light,dark,bright,14.127898216247559,12.46252954006195,-1.665368676185608,gemma2_2b_instruct
32,32,narrow,wide,thin,16.366409301757812,13.949334383010864,-2.4170749187469482,gemma2_2b_instruct
33,33,wide,narrow,broad,16.449811935424805,14.516977429389954,-1.932834506034851,gemma2_2b_instruct
34,34,deep,shallow,profound,12.013984680175781,10.063959777355194,-1.9500249028205872,gemma2_2b_instruct
35,35,shallow,deep,superficial,2.3270950317382812,3.415659561753273,1.0885645300149918,gemma2_2b_instruct
36,36,near,far,close,9.048323631286621,13.44910055398941,4.400776922702789,gemma2_2b_instruct
37,37,far,near,distant,14.932961463928223,10.767715871334076,-4.165245592594147,gemma2_2b_instruct
38,38,young,old,youthful,0.4145379066467285,3.1400173008441925,2.725479394197464,gemma2_2b_instruct
39,39,rough,smooth,coarse,16.75507164001465,14.185896754264832,-2.569174885749817,gemma2_2b_instruct
40,40,smooth,rough,sleek,15.401054382324219,13.616918087005615,-1.7841362953186035,gemma2_2b_instruct
41,41,wet,dry,damp,9.567752838134766,5.595190703868866,-3.9725621342658997,gemma2_2b_instruct
42,42,open,closed,unlocked,8.049270629882812,12.642978489398956,4.593707859516144,gemma2_2b_instruct
43,43,closed,open,shut,10.686058044433594,14.020713984966278,3.3346559405326843,gemma2_2b_instruct
44,44,kind,cruel,nice,15.641101837158203,13.854768753051758,-1.7863330841064453,gemma2_2b_instruct
45,45,cruel,kind,mean,12.447059631347656,10.674120604991913,-1.7729390263557434,gemma2_2b_instruct
46,46,brave,cowardly,bold,19.532426834106445,17.146292448043823,-2.386134386062622,gemma2_2b_instruct
47,47,calm,anxious,peaceful,21.458972930908203,20.94397497177124,-0.5149979591369629,gemma2_2b_instruct
48,48,anxious,calm,nervous,18.1146183013916,17.164528727531433,-0.9500895738601685,gemma2_2b_instruct
49,49,honest,dishonest,truthful,16.66889190673828,13.228981018066406,-3.439910888671875,gemma2_2b_instruct
50,50,lazy,active,idle,7.224342346191406,7.026857852935791,-0.19748449325561523,gemma2_2b_instruct
51,51,active,lazy,busy,18.51942253112793,16.781739115715027,-1.7376834154129028,gemma2_2b_instruct
52,52,complex,simple,complicated,6.210488796234131,11.914087414741516,5.703598618507385,gemma2_2b_instruct
53,53,cheap,expensive,inexpensive,10.44044303894043,9.859238624572754,-0.5812044143676758,gemma2_2b_instruct
54,54,expensive,cheap,costly,12.63054084777832,10.155819535255432,-2.474721312522888,gemma2_2b_instruct
55,55,false,true,fake,7.404284954071045,4.906854555010796,-2.4974303990602493,gemma2_2b_instruct
56,56,thick,thin,dense,23.705204010009766,15.772883176803589,-7.932320833206177,gemma2_2b_instruct
57,57,thin,thick,slim,18.23908233642578,11.247191786766052,-6.991890549659729,gemma2_2b_instruct
58,58,sharp,dull,pointed,16.323118209838867,21.081543445587158,4.758425235748291,gemma2_2b_instruct
59,59,dull,sharp,blunt,6.702652931213379,1.5982792377471924,-5.1043736934661865,gemma2_2b_instruct
60,60,ugly,beautiful,hideous,5.330965995788574,2.3829267024993896,-2.9480392932891846,gemma2_2b_instruct
61,61,smart,stupid,clever,13.475682258605957,8.96603125333786,-4.509651005268097,gemma2_2b_instruct
62,62,stupid,smart,dumb,6.57997465133667,6.112935483455658,-0.46703916788101196,gemma2_2b_instruct
63,63,bad,good,poor,17.926116943359375,13.369575023651123,-4.556541919708252,gemma2_2b_instruct
64,64,wrong,right,incorrect,12.578486442565918,6.689825713634491,-5.888660728931427,gemma2_2b_instruct
0,0,small,big,tiny,3.4001312255859375,5.301074922084808,1.9009436964988708,olmo_1b_base
1,1,large,small,big,1.2580442428588867,3.661137342453003,2.403093099594116,olmo_1b_base
2,2,hot,cold,warm,2.64453125,3.6209989190101624,0.9764676690101624,olmo_1b_base
3,4,happy,sad,glad,4.08565616607666,3.6690778136253357,-0.41657835245132446,olmo_1b_base
4,5,sad,happy,unhappy,2.9969615936279297,4.339517116546631,1.3425555229187012,olmo_1b_base
5,6,fast,slow,quick,3.7849197387695312,3.5236791372299194,-0.2612406015396118,olmo_1b_base
6,8,bright,dark,shiny,5.46701717376709,7.058393836021423,1.5913766622543335,olmo_1b_base
7,9,dark,bright,dim,3.350907325744629,3.969021439552307,0.6181141138076782,olmo_1b_base
8,10,hard,soft,tough,3.3242626190185547,4.732319533824921,1.408056914806366,olmo_1b_base
9,11,soft,hard,gentle,5.076074123382568,7.974872410297394,2.8987982869148254,olmo_1b_base
10,12,strong,weak,powerful,3.760748863220215,5.016258895397186,1.2555100321769714,olmo_1b_base
11,14,old,new,aged,5.406768798828125,10.200100064277649,4.793331265449524,olmo_1b_base
12,15,new,old,fresh,4.720146179199219,6.892173707485199,2.1720275282859802,olmo_1b_base
13,16,clean,dirty,neat,4.280774116516113,4.939057350158691,0.6582832336425781,olmo_1b_base
14,17,dirty,clean,filthy,3.859415054321289,8.395355582237244,4.535940527915955,olmo_1b_base
15,18,rich,poor,wealthy,0.6504049301147461,4.778441488742828,4.128036558628082,olmo_1b_base
16,20,safe,dangerous,secure,2.704007148742676,3.9364460110664368,1.232438862323761,olmo_1b_base
17,21,dangerous,safe,risky,3.1991710662841797,6.526131570339203,3.326960504055023,olmo_1b_base
18,22,easy,hard,simple,3.105165481567383,5.276130139827728,2.1709646582603455,olmo_1b_base
19,23,difficult,easy,hard,1.97271728515625,2.9990400075912476,1.0263227224349976,olmo_1b_base
20,24,loud,quiet,noisy,2.636073112487793,4.114902079105377,1.4788289666175842,olmo_1b_base
21,25,quiet,loud,silent,2.0240936279296875,2.268877387046814,0.24478375911712646,olmo_1b_base
22,26,clear,confusing,plain,4.074802398681641,4.903652906417847,0.828850507736206,olmo_1b_base
23,27,confusing,clear,unclear,2.822270393371582,6.448548138141632,3.62627774477005,olmo_1b_base
24,28,empty,full,vacant,5.305213928222656,8.822570979595184,3.517357051372528,olmo_1b_base
